DATE,2G JAKARTA RAYA,2G JAVA,2G KALISUMAPA,2G SUMATERA,2G NATIONAL,2G JAKARTA RAYA MW,2G JAVA MW,2G SUMATERA MW,2G NATIONAL MW,2G JAKARTA RAYA SP,2G JAVA SP,2G KALISUMAPA SP,2G SUMATERA SP,2G NATIONAL SP,2G Blended 75 Sites MW,2G Blended 75 Sites SP,2G Blended 75 Sites,4G JAKARTA RAYA,4G JAVA,4G KALISUMAPA,4G SUMATERA,4G NATIONAL,4G JAKARTA RAYA MW,4G JAVA MW,4G SUMATERA MW,4G NATIONAL MW,4G JAKARTA RAYA SP,4G JAVA SP,4G KALISUMAPA SP,4G SUMATERA SP,4G NATIONAL SP,4G Blended 75 Sites MW,4G Blended 75 Sites SP,4G Blended 75 Sites,Threshold
15-Aug-25,0.99635935,0.998506282,0.996161559,0.986627141,0.995006083,0.995991218,0.99833334,0.99152897,0.996261695,0.99794094,0.998800913,0.996161559,0.984480222,0.992934458,0.956329871,0.99743094,0.966421577,0.998493985,0.99920471,0.995727089,0.997267999,0.998392172,0.998313461,0.999117691,0.998966224,0.998597488,0.999486074,0.999408845,0.995727089,0.99632764,0.997925765,0.980918763,0.999191934,0.98393913,0.997
16-Aug-25,0.996848825,0.998603197,0.997447691,0.990374324,0.996074034,0.996484106,0.99881617,0.992930049,0.996842786,0.998414783,0.998240369,0.997447691,0.989254894,0.994806106,0.974296679,0.999960376,0.980539932,0.9990141,0.999373338,0.996111775,0.997954993,0.998839796,0.998928262,0.999429548,0.998572044,0.999036031,0.999485673,0.999241499,0.996111775,0.99761416,0.998394859,0.99222338,0.999531242,0.993422689,0.997
17-Aug-25,0.997066159,0.998867358,0.997683347,0.993451813,0.996893398,0.996863396,0.998804551,0.995383508,0.997310292,0.997937012,0.998974322,0.997683347,0.992605354,0.996205619,0.978211347,0.998871401,0.98328408,0.998894116,0.999555005,0.998204554,0.998554054,0.998996123,0.99883141,0.99955805,0.999022438,0.999051927,0.999238825,0.999547871,0.998204554,0.998296584,0.99886981,0.984207299,0.999102657,0.986650199,0.997
18-Aug-25,0.997072069,0.997200379,0.99585805,0.991487274,0.995920702,0.996765228,0.997761285,0.994911653,0.996884677,0.998389954,0.996245237,0.99585805,0.989987136,0.994330751,0.980130174,0.99462282,0.98368861,0.998557111,0.998834575,0.998110397,0.997835359,0.998492458,0.998442637,0.999027341,0.998595062,0.998619756,0.999186652,0.998382265,0.998110397,0.997416317,0.998203812,0.993573748,0.992117447,0.993330805,0.997
19-Aug-25,0.995713326,0.994468016,0.996663305,0.990652546,0.994332866,0.995415511,0.994815048,0.993898984,0.995079159,0.996992766,0.993877127,0.996663305,0.989229873,0.993101681,0.981431076,0.986705208,0.982726054,0.998464338,0.99787279,0.997819947,0.998241913,0.998242365,0.998355886,0.997971856,0.998940204,0.998301848,0.999060535,0.99764037,0.997819947,0.997855965,0.998107427,0.99118991,0.995123615,0.991820305,0.997
20-Aug-25,0.993703758,0.996746857,0.995602264,0.990772502,0.994094566,0.993043079,0.996695441,0.992276628,0.994085977,0.996543121,0.99683441,0.995602264,0.990113244,0.994108739,0.962673792,0.996052508,0.970869327,0.997460826,0.998444329,0.998077713,0.997599757,0.997776107,0.997229958,0.998323528,0.998366954,0.997639117,0.998729079,0.998727445,0.998077713,0.997176484,0.99808669,0.977918713,0.9982194,0.981202128,0.997
21-Aug-25,0.995303572,0.996869547,0.996865363,0.990281853,0.994805701,0.994650882,0.997222549,0.989652495,0.99493798,0.998108725,0.996268458,0.996865363,0.990557508,0.99458744,0.985190958,0.99865297,0.988496337,0.997700794,0.998820422,0.998371228,0.997602471,0.998013413,0.997459098,0.998834854,0.998683515,0.9979544,0.999030321,0.998786684,0.998371228,0.997010704,0.99814706,0.988502385,0.998616034,0.990138634,0.997
22-Aug-25,0.996503849,0.997337609,0.998435387,0.990527824,0.995601451,0.99608255,0.996866995,0.987574033,0.995469612,0.99831182,0.998138977,0.998435387,0.991820114,0.995818749,0.98712954,0.990904268,0.988056357,0.998664316,0.998396568,0.999348672,0.997702514,0.998440095,0.998529434,0.998043948,0.997039894,0.998259013,0.999406016,0.99921948,0.999348672,0.998065232,0.998849659,0.993503794,0.993488395,0.993501299,0.997
23-Aug-25,0.99624902,0.998123225,0.997942781,0.984899305,0.994552415,0.995847274,0.998572734,0.98820071,0.995916873,0.997975623,0.997357423,0.997942781,0.983455189,0.992300972,0.99080928,0.959455052,0.983110766,0.998344966,0.999220244,0.998781401,0.997011687,0.99836621,0.998214408,0.999311762,0.997841894,0.998487819,0.999063954,0.999006484,0.998781401,0.996552482,0.998089795,0.99546193,0.99605022,0.995554995,0.997
24-Aug-25,0.996323109,0.998193917,0.998940968,0.990086522,0.995706577,0.995778785,0.998416006,0.989975973,0.99600562,0.998660678,0.997815351,0.998940968,0.99013491,0.995213341,0.985931344,0.997809102,0.988847736,0.998260844,0.999008473,0.999611219,0.997695081,0.998408071,0.998090832,0.999022533,0.99772362,0.998318277,0.99919659,0.998975645,0.999611219,0.997679388,0.998611575,0.992773455,0.998385892,0.993681516,0.997
